time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1766	1.32647	5.16706	0.222469	0.201667	radar	0.213399	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4017	1.41973	5.14442	0.252211	0.228684	lidar	0.197406	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6328	1.49633	4.91539	0.274894	0.248831	radar	0.161763	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.854	1.52593	4.88397	0.269125	0.224686	lidar	0.163768	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.127	1.59008	5.0917	0.272946	0.211127	radar	0.136068	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3946	1.63347	5.11891	0.267644	0.189612	lidar	0.287029	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6197	1.69759	5.03432	0.277692	0.191685	radar	0.025669	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8491	1.76235	5.02013	0.285603	0.189547	lidar	0.0390965	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1123	1.84022	5.21985	0.292704	0.182537	radar	0.0939418	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3593	1.86608	5.19662	0.276283	0.148591	lidar	0.0815453	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6146	1.93592	5.31081	0.280359	0.141958	radar	0.0347062	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8255	2.08771	5.29451	0.331048	0.200055	lidar	0.51973	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.101	2.18101	5.46429	0.337803	0.19134	radar	0.0803517	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3156	2.33925	5.44968	0.385133	0.241661	lidar	0.466054	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4796	2.45634	5.04499	0.424525	0.291687	radar	0.538692	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7166	2.57937	5.0745	0.44627	0.301041	lidar	0.123914	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9345	2.68978	5.06018	0.462419	0.302801	radar	0.0036688	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1546	2.85451	5.09873	0.502174	0.335137	lidar	0.101091	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.41	2.97279	5.32728	0.502177	0.301701	radar	0.141005	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6281	3.03713	5.25601	0.48799	0.263364	lidar	0.364402	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8658	3.17051	5.35857	0.500879	0.258832	radar	0.0233734	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0738	3.38509	5.40876	0.557387	0.316505	lidar	0.189475	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.286	3.54296	5.25937	0.589346	0.348506	radar	0.0855377	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4925	3.74268	5.30502	0.631899	0.381613	lidar	0.0854529	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6967	3.89477	5.28901	0.649539	0.380079	radar	0.00295477	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9149	4.0294	5.27504	0.653952	0.360888	lidar	0.0422259	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1088	4.19606	5.12676	0.684375	0.388802	radar	0.0809502	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2989	4.38978	5.1605	0.717589	0.406853	lidar	0.0379487	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5127	4.56073	5.25875	0.727891	0.386988	radar	0.0435249	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6947	4.72065	5.22885	0.742193	0.380408	lidar	0.0798239	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8444	4.9052	4.93505	0.790093	0.443692	radar	0.263742	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9991	5.13118	4.9889	0.835914	0.474605	lidar	0.0691875	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1663	5.31074	5.01273	0.853349	0.463146	radar	0.00315402	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3252	5.47971	4.98274	0.867897	0.451979	lidar	0.0276304	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4742	5.66255	4.94824	0.890305	0.453611	radar	0.00539066	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6656	5.75809	4.8374	0.863161	0.389095	lidar	0.334686	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8143	5.94375	4.76882	0.888657	0.404058	radar	0.0206855	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9782	6.12919	4.78597	0.903001	0.396628	lidar	0.176635	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1385	6.32373	4.87056	0.915415	0.380235	radar	0.0263198	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2584	6.57447	4.94169	0.962889	0.417283	lidar	0.101458	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.395	6.78098	4.93073	0.986349	0.423165	radar	0.00351489	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5485	6.90513	4.81414	0.97002	0.374697	lidar	0.218518	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.705	7.10919	4.94402	0.974194	0.343493	radar	0.0581227	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.8957	7.23797	4.86036	0.945682	0.284909	lidar	0.555013	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9815	7.41978	4.62456	0.983256	0.333543	radar	0.215619	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0648	7.71079	4.75866	1.04782	0.395848	lidar	0.300711	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.19	7.91499	4.81486	1.05799	0.375843	radar	0.0126898	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2755	8.14324	4.82962	1.09188	0.394806	lidar	0.162	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.373	8.3476	4.87307	1.10428	0.374448	radar	0.0628576	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4831	8.4907	4.74407	1.09638	0.340022	lidar	0.431906	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5727	8.69674	4.65952	1.12303	0.362091	radar	0.0224364	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7223	8.86517	4.6144	1.10891	0.321822	lidar	0.629049	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8032	9.0691	4.51037	1.13854	0.351776	radar	0.035988	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9142	9.30677	4.5818	1.15853	0.355942	lidar	0.620147	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9646	9.50961	4.42573	1.20075	0.406689	radar	0.102994	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0366	9.7658	4.51774	1.23701	0.427646	lidar	0.279992	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1188	9.98451	4.63097	1.24306	0.390305	radar	0.0457637	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
